Year     Value
--------------------
1     $6000.0
2     $36000.0
3     $216000.0
4     $1296000.0
5     $7776000.0
6     $46656000.0
7     $279936000.0
8     $1679616000.0
9     $10077696000.0
10     $60466176000.0
11     $362797056000.0
12     $2176782336000.0
13     $13060694016000.0
14     $78364164096000.0
15     $470184984576000.0
16     $2821109907456000.0
17     $1.6926659444736e+16
18     $1.01559956668416e+17
19     $6.09359740010496e+17
20     $3.656158440062976e+18
21     $2.1936950640377856e+19
22     $1.3162170384226714e+20
23     $7.897302230536028e+20
24     $4.738381338321617e+21
25     $2.84302880299297e+22
26     $1.705817281795782e+23
27     $1.0234903690774692e+24
28     $6.140942214464815e+24
29     $3.684565328678889e+25
30     $2.2107391972073335e+26
31     $1.3264435183244002e+27
32     $7.958661109946401e+27
33     $4.775196665967841e+28
34     $2.8651179995807047e+29
35     $1.719070799748423e+30
